municipio,data,taxa
170110,2022-03-01,30.26634382566586
170130,2022-03-01,33.5807705903146
170190,2022-03-01,59.98883928571429
170200,2022-03-01,59.715753015645525
170210,2022-03-01,49.74594982841638
170215,2022-03-01,31.212068666551065
170220,2022-03-01,23.51332877648667
170230,2022-03-01,97.20722110785373
170240,2022-03-01,63.90081068192656
170255,2022-03-01,30.041108885843787
170270,2022-03-01,18.45018450184502
170290,2022-03-01,36.29398124810969
170300,2022-03-01,28.81014116969173
170305,2022-03-01,49.28806133625411
170307,2022-03-01,40.408336877924285
170310,2022-03-01,33.83793410507569
170320,2022-03-01,51.98915009041591
170330,2022-03-01,39.08540160250147
170360,2022-03-01,31.67420814479638
170370,2022-03-01,41.90198578976134
170380,2022-03-01,9.429918559794256
170382,2022-03-01,26.396832380114386
170384,2022-03-01,33.30795584316711
170386,2022-03-01,55.42008423852805
170388,2022-03-01,49.77029096477794
170389,2022-03-01,21.849963583394025
170390,2022-03-01,19.9203187250996
170410,2022-03-01,48.06041881222108
170460,2022-03-01,27.913468248429865
170510,2022-03-01,36.16636528028933
170550,2022-03-01,45.13129102844639
170555,2022-03-01,32.780167998360994
170560,2022-03-01,24.697456162015314
170600,2022-03-01,26.25590757920532
170610,2022-03-01,27.820280984837947
170625,2022-03-01,57.53739930955121
170650,2022-03-01,31.801558276355543
170700,2022-03-01,33.34370693104521
170710,2022-03-01,59.59137343927355
170720,2022-03-01,26.771875440326898
170730,2022-03-01,42.97378599054577
170740,2022-03-01,15.392973560304236
170755,2022-03-01,52.728710783021356
170765,2022-03-01,53.660406285933306
170770,2022-03-01,24.965955515206538
170820,2022-03-01,47.74046546953833
170825,2022-03-01,47.77655273796398
170830,2022-03-01,33.235581622678396
170900,2022-03-01,37.13527851458886
170930,2022-03-01,54.29864253393665
170950,2022-03-01,48.3156773723446
170980,2022-03-01,53.06319343945972
171050,2022-03-01,47.03036818059662
171070,2022-03-01,19.20391061452514
171090,2022-03-01,23.572551073860662
171110,2022-03-01,20.738282870178352
171150,2022-03-01,20.607934054611025
171180,2022-03-01,27.548209366391184
171190,2022-03-01,21.484510361078385
171195,2022-03-01,35.95505617977528
171200,2022-03-01,49.20049200492005
171215,2022-03-01,30.349013657056148
171240,2022-03-01,19.136139967195188
171245,2022-03-01,15.629884338855893
171250,2022-03-01,29.962546816479403
171270,2022-03-01,35.51136363636363
171280,2022-03-01,14.45086705202312
171320,2022-03-01,97.61388286334056
171330,2022-03-01,35.41651294916255
171360,2022-03-01,33.557046979865774
171370,2022-03-01,38.46153846153847
171380,2022-03-01,25.30138413454383
171395,2022-03-01,38.48268279274326
171420,2022-03-01,51.964923676518346
171430,2022-03-01,41.99475065616798
171488,2022-03-01,38.45510784149808
171500,2022-03-01,32.588454376163874
171510,2022-03-01,35.898586493156834
171515,2022-03-01,43.70629370629371
171525,2022-03-01,40.14598540145985
171550,2022-03-01,52.816901408450704
171570,2022-03-01,17.77059773828756
171575,2022-03-01,50.92048570309439
171610,2022-03-01,46.96070328349238
171620,2022-03-01,32.49856623972472
171630,2022-03-01,64.22208411021339
171650,2022-03-01,50.08465011286682
171660,2022-03-01,59.02689940129859
171665,2022-03-01,32.57328990228013
171670,2022-03-01,38.11163019424637
171700,2022-03-01,47.50056548292241
171720,2022-03-01,47.09048099562731
171750,2022-03-01,101.85892538833716
171780,2022-03-01,24.133391838525668
171790,2022-03-01,27.98734485276223
171800,2022-03-01,43.75000000000001
171820,2022-03-01,63.57774235618026
171830,2022-03-01,26.455026455026452
171840,2022-03-01,36.031042128603104
171845,2022-03-01,29.400955531054763
171850,2022-03-01,6.91085003455425
171855,2022-03-01,38.37134939245364
171865,2022-03-01,54.42176870748299
171870,2022-03-01,44.93605254061528
171875,2022-03-01,56.657223796033996
171880,2022-03-01,30.66857493355142
171884,2022-03-01,38.05620608899297
171886,2022-03-01,64.72491909385114
171888,2022-03-01,37.1322479291631
171889,2022-03-01,45.60530679933665
171890,2022-03-01,34.8861071208701
171900,2022-03-01,50.8819538670285
172000,2022-03-01,47.543581616481774
172010,2022-03-01,27.027027027027028
172015,2022-03-01,36.54080389768575
172020,2022-03-01,3.938248267170762
172025,2022-03-01,19.665683382497544
172030,2022-03-01,22.59190798932019
172049,2022-03-01,67.14876033057851
172065,2022-03-01,51.34788189987162
172080,2022-03-01,15.290519877675841
172085,2022-03-01,65.45820745216515
172090,2022-03-01,36.8389780154486
172093,2022-03-01,59.469350411710884
172097,2022-03-01,21.299254526091588
172100,2022-03-01,28.577688744209343
172110,2022-03-01,89.05524006195147
172120,2022-03-01,64.3438676354723
172125,2022-03-01,50.55611729019211
172130,2022-03-01,21.85792349726776
172208,2022-03-01,34.956091738426124
172210,2022-03-01,79.71268395234758
170025,2022-04-01,45.6968773800457
170030,2022-04-01,41.798789276448545
170035,2022-04-01,45.56673628251376
170040,2022-04-01,35.17514289901803
170070,2022-04-01,71.09847138286527
170100,2022-04-01,54.69078670593185
170105,2022-04-01,69.76744186046511
170110,2022-04-01,36.31961259079903
170130,2022-04-01,47.720042417815485
170190,2022-04-01,57.19866071428571
170200,2022-04-01,56.132807834706796
